[2025-02-16 17:08:35,274: INFO: extract_mongodb: line 44: Loaded 17853 records from mongodb database and converted into pandas DataFrame]
[2025-02-16 17:08:35,278: INFO: extract_mongodb: line 61: MongoDB Data Validated Successfully]
[2025-02-16 17:08:35,279: INFO: extract_postgresql: line 23: Creating connection to RDS Postgresql Database]
[2025-02-16 17:08:36,522: INFO: extract_postgresql: line 32: Connection established]
[2025-02-16 17:08:36,522: INFO: extract_postgresql: line 47: Loading postgres data]
[2025-02-16 17:08:37,859: INFO: extract_postgresql: line 49: Loaded 10639 records from the database]
[2025-02-16 17:08:37,859: INFO: extract_postgresql: line 52: PostgreSQL connection closed.]
[2025-02-16 17:08:37,859: INFO: extract_postgresql: line 70: Postgres Data Validated Successfully]
[2025-02-16 17:08:37,859: INFO: transform: line 17: Defining final columns]
[2025-02-16 17:08:37,878: INFO: transform: line 21: Merging mongodb and postgres data on the defined final columns]
[2025-02-16 17:08:37,896: INFO: transform: line 24: Final data is ready now with shape (28492, 15)]
[2025-02-16 23:47:13,851: INFO: transform: line 13: Loading validated mongodb and validated postgres data]
[2025-02-16 23:47:13,853: INFO: extract_mongodb: line 22: Connecting MongoDB server]
[2025-02-16 23:47:14,350: INFO: extract_mongodb: line 27: MongoDB server connected]
[2025-02-16 23:47:14,350: INFO: extract_mongodb: line 38: Loading data from mongodb]
[2025-02-16 23:47:14,355: INFO: extract_mongodb: line 41: Converting fetched data to Dataframe]
[2025-02-16 23:47:17,779: INFO: extract_mongodb: line 44: Loaded 17853 records from mongodb database and converted into pandas DataFrame]
[2025-02-16 23:47:17,789: INFO: extract_mongodb: line 61: MongoDB Data Validated Successfully]
[2025-02-16 23:47:17,789: INFO: extract_postgresql: line 23: Creating connection to RDS Postgresql Database]
[2025-02-16 23:47:19,393: INFO: extract_postgresql: line 32: Connection established]
[2025-02-16 23:47:19,393: INFO: extract_postgresql: line 47: Loading postgres data]
[2025-02-16 23:47:23,930: INFO: extract_postgresql: line 49: Loaded 10639 records from the database]
[2025-02-16 23:47:23,934: INFO: extract_postgresql: line 52: PostgreSQL connection closed.]
[2025-02-16 23:47:23,944: INFO: extract_postgresql: line 70: Postgres Data Validated Successfully]
[2025-02-16 23:47:23,944: INFO: transform: line 17: Defining final columns]
[2025-02-16 23:47:23,974: INFO: transform: line 21: Merging mongodb and postgres data on the defined final columns]
[2025-02-16 23:47:24,026: INFO: transform: line 24: Final data is ready now with shape (28492, 15)]
[2025-02-16 23:55:45,731: INFO: transform: line 13: Loading validated mongodb and validated postgres data]
[2025-02-16 23:55:45,731: INFO: extract_mongodb: line 22: Connecting MongoDB server]
[2025-02-16 23:55:46,237: INFO: extract_mongodb: line 27: MongoDB server connected]
[2025-02-16 23:55:46,237: INFO: extract_mongodb: line 38: Loading data from mongodb]
[2025-02-16 23:55:46,240: INFO: extract_mongodb: line 41: Converting fetched data to Dataframe]
[2025-02-16 23:55:51,078: INFO: extract_mongodb: line 44: Loaded 17853 records from mongodb database and converted into pandas DataFrame]
